Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1788.0,OUT049
FDW14,1496.0,OUT017
NCN55,1932.0,OUT010
FDQ58,2556.0,OUT017
FDY38,5140.0,OUT027
FDH56,1964.0,OUT046
FDL48,600.0,OUT018
FDC48,2784.0,OUT027
FDN33,1628.0,OUT045
FDA36,3060.0,OUT017
FDT44,1988.0,OUT017
FDQ56,1436.0,OUT045
NCC54,1856.0,OUT019
FDU11,1968.0,OUT049
DRL59,880.0,OUT013
FDM24,2488.0,OUT049
FDI57,3372.0,OUT045
DRC12,2728.0,OUT018
NCM42,3192.0,OUT027
FDA46,1164.0,OUT010
FDA31,2820.0,OUT013
NCJ31,3832.0,OUT035
FDG52,808.0,OUT046
NCL19,352.0,OUT019
FDS10,2932.0,OUT035
FDX22,1476.0,OUT010
NCF19,832.0,OUT035
NCE06,2568.0,OUT046
DRC27,3860.0,OUT046
FDE21,1948.0,OUT035
NCR42,-1396.0,OUT019
FDX51,2856.0,OUT018
NCR06,420.0,OUT018
FDU31,4964.0,OUT027
FDU59,2668.0,OUT017
FDR03,4752.0,OUT027
FDS49,2800.0,OUT027
FDD48,-48.0,OUT010
NCF18,3100.0,OUT017
NCD43,3100.0,OUT027
NCD54,1992.0,OUT018
FDY19,12.0,OUT010
NCY54,2796.0,OUT017
NCL19,2040.0,OUT018
FDP23,1536.0,OUT010
FDC26,1860.0,OUT013
FDR14,-1036.0,OUT010
NCS41,2968.0,OUT035
FDF41,3936.0,OUT035
FDU34,2044.0,OUT046
DRH11,952.0,OUT046
FDM03,1736.0,OUT013
FDS31,3012.0,OUT017
FDJ20,2092.0,OUT017
FDV44,4500.0,OUT027
FDG02,3076.0,OUT049
FDA09,2896.0,OUT013
FDT04,648.0,OUT013
FDL58,2252.0,OUT019
FDE52,1512.0,OUT045
FDW12,2412.0,OUT035
FDL51,3484.0,OUT017
NCY42,3688.0,OUT027
FDR07,1660.0,OUT017
FDN40,2448.0,OUT045
FDB35,2992.0,OUT027
FDA22,2752.0,OUT017
NCL06,4152.0,OUT046
FDI35,2944.0,OUT013
NCW42,3532.0,OUT045
NCX06,2876.0,OUT049
FDC37,3204.0,OUT027
FDZ14,1680.0,OUT018
DRG49,3856.0,OUT049
NCG06,4072.0,OUT045
DRC36,2804.0,OUT045
FDV21,28.0,OUT019
FDB53,2360.0,OUT046
DRP47,2008.0,OUT019
FDA14,2304.0,OUT013
DRC24,2452.0,OUT035
FDW21,1388.0,OUT018
NCH29,1608.0,OUT046
FDU58,3056.0,OUT013
FDY27,2868.0,OUT017
FDV56,1876.0,OUT035
FDT59,3672.0,OUT046
FDB23,3688.0,OUT046
FDR49,856.0,OUT045
FDB03,1912.0,OUT010
FDN39,2732.0,OUT045
FDX02,4944.0,OUT027
FDQ16,3168.0,OUT027
FDU35,1304.0,OUT018
NCT29,1984.0,OUT013
FDZ27,808.0,OUT046
FDN57,2324.0,OUT017
FDA03,2044.0,OUT018
FDZ36,3036.0,OUT045
NCU05,1348.0,OUT013
FDT39,2176.0,OUT018
FDK60,1688.0,OUT017
FDZ25,2860.0,OUT017
FDG12,2044.0,OUT046
DRB01,1048.0,OUT019
NCC43,5380.0,OUT027
FDX13,2040.0,OUT019
FDM22,956.0,OUT049
FDJ03,2264.0,OUT027
FDU14,3632.0,OUT018
FDB33,676.0,OUT010
FDP27,3052.0,OUT046
FDO38,-596.0,OUT010
FDE28,5120.0,OUT027
FDO27,1620.0,OUT035
DRL23,3164.0,OUT027
FDS28,968.0,OUT046
FDX24,1536.0,OUT013
FDZ02,1616.0,OUT035
FDL46,1924.0,OUT045
FDS60,4304.0,OUT027
NCO06,620.0,OUT017
FDO16,1408.0,OUT035
FDC60,1484.0,OUT049
FDA48,3200.0,OUT018
FDZ36,4448.0,OUT027
FDK27,1996.0,OUT045
FDW23,384.0,OUT018
FDM14,1544.0,OUT018
FDM14,1816.0,OUT013
FDW60,2592.0,OUT018
FDE21,1924.0,OUT013
NCM42,1792.0,OUT035
FDY59,-360.0,OUT010
DRI49,1288.0,OUT049
FDT28,448.0,OUT019
FDQ22,404.0,OUT018
FDR60,1276.0,OUT049
FDC50,-380.0,OUT019
FDV24,2440.0,OUT013
DRF48,1060.0,OUT010
FDQ47,664.0,OUT046
DRN36,1560.0,OUT049
NCY06,2092.0,OUT035
FDE52,1508.0,OUT035
NCB54,2080.0,OUT045
NCF31,2460.0,OUT035
FDJ08,4476.0,OUT027
NCC07,1772.0,OUT017
NCD19,2328.0,OUT027
FDL46,1948.0,OUT049
FDM20,3948.0,OUT045
NCI06,952.0,OUT010
DRM11,4128.0,OUT035
NCH07,2216.0,OUT018
FDS23,2064.0,OUT013
FDO49,608.0,OUT018
FDS35,1080.0,OUT049
DRK39,1352.0,OUT045
DRI39,952.0,OUT049
FDV04,2592.0,OUT017
NCN14,2952.0,OUT035
FDH08,3708.0,OUT013
FDS20,2956.0,OUT046
FDV40,1248.0,OUT049
FDZ48,-108.0,OUT010
FDS24,2916.0,OUT027
FDK44,2820.0,OUT049
FDS48,2460.0,OUT045
FDK26,1164.0,OUT010
FDD23,3120.0,OUT045
NCH54,2624.0,OUT017
NCP14,-216.0,OUT010
FDM60,-1176.0,OUT010
FDV24,2488.0,OUT017
FDH08,3356.0,OUT018
FDS12,3480.0,OUT027
FDR39,4324.0,OUT027
FDP12,2120.0,OUT027
DRF60,5144.0,OUT027
FDC09,1780.0,OUT035
FDF50,2900.0,OUT018
FDG28,3920.0,OUT035
NCE19,972.0,OUT017
NCM53,-144.0,OUT010
NCN18,1784.0,OUT049
FDF32,3228.0,OUT035
FDF11,3888.0,OUT013
DRI59,3576.0,OUT049
NCG54,2720.0,OUT035
FDM44,1700.0,OUT046
FDT57,3460.0,OUT018
FDV24,2440.0,OUT046
FDI50,1756.0,OUT019
FDS09,948.0,OUT035
NCC31,3896.0,OUT027
FDQ07,1580.0,OUT019
FDC22,3148.0,OUT017
FDZ56,2756.0,OUT046
FDZ40,-1056.0,OUT019
FDS46,3396.0,OUT027
DRD24,2252.0,OUT045
FDV45,3084.0,OUT017
FDL26,2576.0,OUT045
FDA56,1716.0,OUT018
FDN27,1940.0,OUT046
FDM20,3924.0,OUT049
FDO16,1408.0,OUT017
FDL03,3208.0,OUT035
FDE58,1916.0,OUT046
FDI02,3328.0,OUT027
NCC55,-1300.0,OUT019
FDR03,3032.0,OUT018
FDB14,1656.0,OUT017
FDR45,3840.0,OUT013
NCN07,2168.0,OUT017
FDM51,-232.0,OUT019
FDT52,5336.0,OUT027
FDL26,2536.0,OUT046
NCZ42,3788.0,OUT046
DRI47,380.0,OUT019
FDW40,2280.0,OUT013
FDN34,2764.0,OUT046
FDS01,2940.0,OUT035
NCG55,1896.0,OUT045
FDC11,1504.0,OUT035
FDX35,3316.0,OUT018
NCB06,2584.0,OUT046
FDR09,2156.0,OUT019
FDC53,1624.0,OUT017
FDY45,4064.0,OUT013
FDA22,820.0,OUT010
FDE02,1628.0,OUT035
FDW21,1716.0,OUT045
FDV34,1284.0,OUT046
FDS59,1816.0,OUT049
NCW17,2136.0,OUT017
NCK54,1892.0,OUT046
FDG17,1936.0,OUT019
FDG35,2920.0,OUT017
FDD08,-1220.0,OUT010
NCO07,3432.0,OUT017
FDJ10,404.0,OUT010
FDW36,1764.0,OUT017
FDW21,-204.0,OUT010
FDY19,1988.0,OUT017
DRE03,784.0,OUT013
NCC55,656.0,OUT049
FDH52,-832.0,OUT010
FDO09,4284.0,OUT017
FDU43,3892.0,OUT045
FDX09,892.0,OUT010
FDH40,-584.0,OUT019
FDW58,1772.0,OUT017
FDC47,3668.0,OUT017
NCR41,1592.0,OUT035
DRG49,3872.0,OUT035
FDC52,3884.0,OUT027
FDY13,1300.0,OUT046
FDY35,800.0,OUT013
FDI35,3008.0,OUT017
NCU18,2268.0,OUT049
FDY33,2276.0,OUT018
FDC15,3904.0,OUT027
FDU01,3088.0,OUT049
NCU42,2708.0,OUT046
NCV29,2548.0,OUT018
NCY30,2968.0,OUT017
FDQ46,1828.0,OUT049
FDG58,3940.0,OUT027
FDK33,3468.0,OUT017
NCD07,1880.0,OUT045
NCX29,3752.0,OUT027
NCT42,2372.0,OUT013
DRN59,808.0,OUT035
FDI44,1348.0,OUT035
FDA45,2860.0,OUT049
FDP31,1172.0,OUT045
FDY01,1948.0,OUT046
FDT09,1892.0,OUT018
DRH03,2952.0,OUT027
FDA36,2696.0,OUT018
NCF31,2500.0,OUT017
FDG14,2528.0,OUT049
FDG28,5344.0,OUT027
FDU14,3952.0,OUT049
FDY47,184.0,OUT019
FDI56,1508.0,OUT049
DRD01,948.0,OUT013
FDM22,980.0,OUT046
FDH33,736.0,OUT013
DRZ24,1872.0,OUT013
NCQ38,1740.0,OUT046
FDO16,2792.0,OUT027
FDU07,3852.0,OUT027
NCB07,3080.0,OUT013
FDU48,2172.0,OUT045
NCM43,2684.0,OUT045
FDR31,476.0,OUT010
DRK49,376.0,OUT018
NCI30,1956.0,OUT010
DRD60,2912.0,OUT017
NCG19,3716.0,OUT046
FDH12,1748.0,OUT035
FDM32,1564.0,OUT035
FDM27,2572.0,OUT035
NCU53,4092.0,OUT027
NCQ18,1596.0,OUT046
FDS10,2880.0,OUT013
FDB33,3988.0,OUT027
FDI12,1452.0,OUT013
NCW42,3504.0,OUT013
NCC06,1760.0,OUT018
FDW02,2096.0,OUT017
NCD43,1744.0,OUT017
FDM57,1108.0,OUT018
FDA58,3812.0,OUT017
FDK56,2988.0,OUT046
FDP52,3712.0,OUT045
FDW20,1732.0,OUT018
FDS52,1632.0,OUT049
NCT29,1644.0,OUT018
NCL54,2800.0,OUT013
FDC05,3192.0,OUT045
FDF34,3220.0,OUT035
FDP03,3488.0,OUT027
FDD32,-468.0,OUT010
